id.site,name.plant.agg,cover.mean.agg,site.type,rest.meth
M_BAD,Galium verum agg.,0.125,restored,mga
M_BAD,Hieracium pilosella,1.05,restored,mga
M_BAD,Hippocrepis comosa,0.025,restored,mga
M_BAD,Koeleria pyramidata agg.,0.375,restored,mga
M_BAD,Ligustrum vulgare,0.5,restored,mga
M_BAD,Linum catharticum,0.125,restored,mga
M_BAD,Medicago lupulina,0.175,restored,mga
M_BAD,Orchis purpurea,1.5,restored,mga
M_BAD,Potentilla heptaphylla,4.125,restored,mga
M_BAD,Potentilla verna agg.,0.175,restored,mga
M_BAD,Prunus mahaleb,0.125,restored,mga
M_BAD,Prunus spinosa agg.,1.5,restored,mga
M_BAD,Reseda lutea,0.025,restored,mga
M_BAD,Rosa,2.5,restored,mga
M_BAD,Sanguisorba minor s. l.,1.25,restored,mga
M_BAD,Seseli hippomarathrum,3.125,restored,mga
M_BAD,Sonchus oleraceus,0.025,restored,mga
M_BAD,Teucrium chamaedrys,8.5,restored,mga
M_BAD,Thymus praecox,0.375,restored,mga
M_BAD,Tragopogon dubius,0.025,restored,mga
M_BAL,Alopecurus pratensis,0.5,negative,NA
M_BAL,Arenaria serpyllifolia agg.,0.125,negative,NA
M_BAL,Arrhenatherum elatius,33.125,negative,NA
M_BAL,Bromus hordeaceus agg.,0.25,negative,NA
M_BAL,Bromus sterilis,6.125,negative,NA
M_BAL,Carduus acanthoides,0.125,negative,NA
M_BAL,Centaurea jacea agg.,0.125,negative,NA
M_BAL,Cerastium fontanum agg.,3.625,negative,NA
M_BAL,Cirsium arvense,0.15,negative,NA
M_BAL,Convolvulus arvensis,2.5,negative,NA
M_BAL,Crataegus monogyna,0.125,negative,NA
M_BAL,Dactylis glomerata agg.,5.125,negative,NA
M_BAL,Festuca ovina agg.,0.625,negative,NA
M_BAL,Festuca rubra agg.,3,negative,NA
M_BAL,Fragaria viridis,2.5,negative,NA
M_BAL,Galium mollugo agg.,5,negative,NA
M_BAL,Lamium album,5,negative,NA
M_BAL,Myosotis ramosissima,0.025,negative,NA
M_BAL,Origanum vulgare,1,negative,NA
M_BAL,Papaver rhoeas,0.125,negative,NA
M_BAL,Poa pratensis agg.,1.5,negative,NA
M_BAL,Prunus spinosa agg.,0.625,negative,NA
M_BAL,Rosa canina s. l.,2.5,negative,NA
M_BAL,Torilis arvensis,1.625,negative,NA
M_BAL,Trifolium campestre,1,negative,NA
M_BAL,Tripleurospermum maritimum agg.,0.025,negative,NA
M_BAL,Valerianella locusta,1.625,negative,NA
M_BAL,Veronica arvensis,0.5,negative,NA
M_BAL,Vicia hirsuta,1.25,negative,NA
M_BAL,Vicia sativa agg.,0.15,negative,NA
M_BAL,Viola tricolor agg.,0.025,negative,NA
M_BEE,Achillea millefolium agg.,0.625,restored,cus
M_BEE,Arrhenatherum elatius,3.5,restored,cus
M_BEE,Centaurea jacea agg.,1.125,restored,cus
M_BEE,Centaurea paniculata agg.,0.625,restored,cus
M_BEE,Cerastium fontanum agg.,10,restored,cus
M_BEE,Convolvulus arvensis,0.125,restored,cus
M_BEE,Dactylis glomerata agg.,6.5,restored,cus
M_BEE,Daucus carota,2,restored,cus
M_BEE,Elymus repens s. str.,30.625,restored,cus
M_BEE,Erigeron annuus,0.125,restored,cus
M_BEE,Eryngium campestre,1,restored,cus
M_BEE,Galium mollugo agg.,2.5,restored,cus
M_BEE,Myosotis ramosissima,4.125,restored,cus
M_BEE,Onobrychis viciifolia agg.,0.125,restored,cus
M_BEE,Poa pratensis agg.,17.5,restored,cus
M_BEE,Silene vulgaris,0.5,restored,cus
M_BEE,Taraxacum sect. Ruderalia,0.025,restored,cus
M_BEE,Valerianella locusta,5.625,restored,cus
M_BEE,Veronica arvensis,0.775,restored,cus
M_BEE,Viola tricolor agg.,0.125,restored,cus
M_BEN,Achillea millefolium agg.,1.625,restored,res
M_BEN,Agrimonia eupatoria,0.025,restored,res
M_BEN,Arrhenatherum elatius,1.625,restored,res
M_BEN,Centaurea jacea agg.,2,restored,res
M_BEN,Cirsium arvense,0.025,restored,res
M_BEN,Dactylis glomerata agg.,15,restored,res
M_BEN,Elymus repens s. str.,2.125,restored,res
M_BEN,Festuca ovina agg.,5,restored,res
M_BEN,Festuca pratensis s. str.,7,restored,res
M_BEN,Galium mollugo agg.,0.275,restored,res
M_BEN,Galium verum agg.,0.15,restored,res
M_BEN,Hippocrepis comosa,0.05,restored,res
M_BEN,Lolium perenne,1.125,restored,res
M_BEN,Lotus corniculatus agg.,0.375,restored,res
M_BEN,Malva moschata,1.25,restored,res
M_BEN,Poa pratensis agg.,0.5,restored,res
M_BEN,Salvia pratensis,0.025,restored,res
M_BEN,Silene vulgaris,3,restored,res
M_BEN,Taraxacum sect. Ruderalia,0.025,restored,res
M_BEN,Trifolium pratense,0.025,restored,res
M_BIR,Achillea millefolium agg.,0.775,positive,NA
M_BIR,Alopecurus pratensis,2,positive,NA
M_BIR,Anthoxanthum odoratum agg.,0.125,positive,NA
M_BIR,Arrhenatherum elatius,9,positive,NA
M_BIR,Briza media,1,positive,NA
M_BIR,Campanula patula,0.625,positive,NA
M_BIR,Carex praecox agg.,0.125,positive,NA
M_BIR,Centaurea jacea agg.,12.5,positive,NA
M_BIR,Centaurea scabiosa,0.15,positive,NA
M_BIR,Cerastium fontanum agg.,0.525,positive,NA
M_BIR,Cirsium acaulon,0.5,positive,NA
M_BIR,Cirsium arvense,0.125,positive,NA
M_BIR,Dactylis glomerata agg.,0.625,positive,NA
M_BIR,Daucus carota,8,positive,NA
M_BIR,Deschampsia cespitosa agg.,1.5,positive,NA
M_BIR,Dianthus carthusianorum agg.,0.625,positive,NA
M_BIR,Dianthus deltoides,0.275,positive,NA
M_BIR,Elymus repens s. str.,17.5,positive,NA
M_BIR,Equisetum pratense,1.125,positive,NA
M_BIR,Festuca arundinacea,2.625,positive,NA
M_BIR,Festuca ovina agg.,1.5,positive,NA
M_BIR,Fragaria viridis,9.375,positive,NA
M_BIR,Galium mollugo agg.,1.5,positive,NA
M_BIR,Galium verum agg.,2.125,positive,NA
M_BIR,Geranium pratense,0.375,positive,NA
M_BIR,Holcus lanatus,5,positive,NA
M_BIR,Lathyrus pratensis,6,positive,NA
M_BIR,Leucanthemum vulgare agg.,0.5,positive,NA
M_BIR,Pimpinella saxifraga agg.,2.5,positive,NA
M_BIR,Plantago lanceolata,1.75,positive,NA
M_BIR,Poa pratensis agg.,12.5,positive,NA
M_BIR,Polygala vulgaris s. l.,0.125,positive,NA
M_BIR,Potentilla reptans,0.125,positive,NA
M_BIR,Prunella vulgaris,0.5,positive,NA
M_BIR,Prunus,0.125,positive,NA
M_BIR,Quercus,0.125,positive,NA
M_BIR,Ranunculus repens,0.5,positive,NA
M_BIR,Rumex acetosa,0.15,positive,NA
M_BIR,Stellaria media agg.,0.175,positive,NA
M_BIR,Thymus praecox,1,positive,NA
M_BIR,Trifolium pratense,1.125,positive,NA
M_BIR,Trifolium repens,3.625,positive,NA
M_BIR,Veronica arvensis,0.5,positive,NA
M_BIR,Veronica chamaedrys agg.,1.625,positive,NA
M_BIR,Vicia hirsuta,0.125,positive,NA
M_BOD,Alopecurus pratensis,10.375,negative,NA
M_BOD,Arrhenatherum elatius,33.125,negative,NA
M_BOD,Capsella bursa-pastoris,0.125,negative,NA
M_BOD,Cerastium fontanum agg.,0.875,negative,NA
M_BOD,Cirsium vulgare,0.125,negative,NA
M_BOD,Dactylis glomerata agg.,2.5,negative,NA
M_BOD,Daucus carota,1,negative,NA
M_BOD,Elymus repens s. str.,0.5,negative,NA
M_BOD,Festuca ovina agg.,0.5,negative,NA
M_BOD,Galium mollugo agg.,0.25,negative,NA
M_BOD,Helictotrichon pubescens,1,negative,NA
M_BOD,Lactuca serriola,0.125,negative,NA
M_BOD,Lolium perenne,0.25,negative,NA
M_BOD,Myosotis ramosissima,2.5,negative,NA
M_BOD,Poa pratensis agg.,9.5,negative,NA
M_BOD,Potentilla reptans,0.125,negative,NA
M_BOD,Ranunculus bulbosus,0.875,negative,NA
M_BOD,Taraxacum sect. Ruderalia,0.125,negative,NA
M_BOD,Trifolium campestre,0.025,negative,NA
M_BOD,Valerianella locusta,4.125,negative,NA
M_BOD,Veronica arvensis,3.625,negative,NA
M_BOD,Veronica chamaedrys agg.,1,negative,NA
M_BOD,Vicia hirsuta,5.25,negative,NA
M_BOD,Vicia sativa agg.,12.875,negative,NA
M_BRA,Achillea millefolium agg.,3.025,restored,res
M_BRA,Agrimonia eupatoria,1.5,restored,res
M_BRA,Arabidopsis thaliana,0.025,restored,res
M_BRA,Arrhenatherum elatius,0.125,restored,res
M_BRA,Bromus erectus,0.125,restored,res
M_BRA,Bromus hordeaceus agg.,1.625,restored,res
M_BRA,Capsella bursa-pastoris,0.125,restored,res
M_BRA,Cerastium fontanum agg.,1.625,restored,res
M_BRA,Clinopodium vulgare,0.5,restored,res
M_BRA,Cynosurus cristatus,0.025,restored,res
M_BRA,Dactylis glomerata agg.,0.625,restored,res
M_BRA,Draba verna agg.,1,restored,res
M_BRA,Elymus repens s. str.,0.25,restored,res
M_BRA,Erodium cicutarium agg.,2.5,restored,res
M_BRA,Eryngium campestre,0.15,restored,res
M_BRA,Euphorbia cyparissias,0.025,restored,res
M_BRA,Falcaria vulgaris,1.25,restored,res
M_BRA,Festuca ovina agg.,10.5,restored,res
M_BRA,Galium glaucum,1,restored,res
M_BRA,Galium mollugo agg.,0.675,restored,res
M_BRA,Hypericum perforatum,0.025,restored,res
M_BRA,Knautia arvensis agg.,2,restored,res
M_BRA,Koeleria pyramidata agg.,5.625,restored,res
M_BRA,Lotus corniculatus agg.,0.5,restored,res
M_BRA,Papaver rhoeas,1,restored,res
M_BRA,Picris hieracioides s. l.,0.125,restored,res
M_BRA,Poa pratensis agg.,23.125,restored,res
M_BRA,Potentilla argentea s. l.,5.125,restored,res
M_BRA,Sanguisorba minor s. l.,0.125,restored,res
M_BRA,Taraxacum sect. Ruderalia,0.625,restored,res
M_BRA,Trifolium dubium agg.,0.625,restored,res
M_BRA,Tripleurospermum maritimum agg.,0.025,restored,res
M_BRA,Valerianella locusta,0.025,restored,res
M_BRA,Veronica arvensis,0.15,restored,res
M_BRA,Vicia hirsuta,1.525,restored,res
M_BRA,Vicia sativa agg.,3,restored,res
M_BRA,Vicia sepium,30,restored,res
M_BRA,Viola tricolor agg.,0.025,restored,res
M_BUH,Achillea millefolium agg.,12.5,restored,res
M_BUH,Agrimonia eupatoria,0.125,restored,res
M_BUH,Alopecurus pratensis,1.25,restored,res
M_BUH,Anthemis tinctoria agg.,0.125,restored,res
M_BUH,Anthoxanthum odoratum agg.,3,restored,res
M_BUH,Arrhenatherum elatius,6,restored,res
M_BUH,Briza media,0.25,restored,res
M_BUH,Campanula rapunculoides,0.025,restored,res
M_BUH,Centaurea jacea agg.,1.625,restored,res
M_BUH,Centaurea scabiosa,1.625,restored,res
M_BUH,Cichorium intybus,1.125,restored,res
M_BUH,Clinopodium vulgare,1.25,restored,res
M_BUH,Crepis biennis,2,restored,res
M_BUH,Cynosurus cristatus,0.75,restored,res
M_BUH,Dactylis glomerata agg.,12.5,restored,res
M_BUH,Daucus carota,0.25,restored,res
M_BUH,Festuca ovina agg.,1.25,restored,res
M_BUH,Festuca pratensis s. str.,3.5,restored,res
M_BUH,Festuca rubra agg.,1.125,restored,res
M_BUH,Galium mollugo agg.,0.15,restored,res
M_BUH,Galium verum agg.,0.125,restored,res
M_BUH,Heracleum sphondylium,0.125,restored,res
M_BUH,Holcus lanatus,0.25,restored,res
M_BUH,Hypericum perforatum,0.25,restored,res
M_BUH,Hypochaeris radicata,0.5,restored,res
M_BUH,Knautia arvensis agg.,2,restored,res
M_BUH,Lathyrus pratensis,0.15,restored,res
M_BUH,Leontodon hispidus,0.125,restored,res
M_BUH,Leucanthemum vulgare agg.,33.125,restored,res
M_BUH,Linaria vulgaris,0.15,restored,res
M_BUH,Lotus corniculatus agg.,8,restored,res
M_BUH,Malva moschata,0.275,restored,res
M_BUH,Medicago lupulina,0.05,restored,res
M_BUH,Origanum vulgare,0.75,restored,res
M_BUH,Pastinaca sativa,0.15,restored,res
M_BUH,Plantago lanceolata,2,restored,res
M_BUH,Plantago media,0.025,restored,res
M_BUH,Poa pratensis agg.,0.75,restored,res
M_BUH,Poa trivialis s. l.,2.5,restored,res
M_BUH,Prunella vulgaris,1.25,restored,res
M_BUH,Ranunculus acris agg.,0.15,restored,res
M_BUH,Salvia pratensis,0.025,restored,res
M_BUH,Sanguisorba minor s. l.,0.275,restored,res
M_BUH,Silene dioica,0.025,restored,res
M_BUH,Silene latifolia subsp. alba,0.175,restored,res
M_BUH,Silene vulgaris,0.4,restored,res
M_BUH,Tragopogon pratensis s. l.,0.025,restored,res
M_BUH,Trifolium pratense,11,restored,res
M_BUH,Trisetum flavescens,1.625,restored,res
M_CAL,Achillea millefolium agg.,17.875,restored,res
M_CAL,Anthoxanthum odoratum agg.,2.25,restored,res
M_CAL,Arrhenatherum elatius,12.5,restored,res
M_CAL,Centaurea jacea agg.,3.5,restored,res
M_CAL,Cerastium,0.4,restored,res
M_CAL,Cirsium arvense,0.25,restored,res
M_CAL,Cornus sanguinea,0.025,restored,res
M_CAL,Crataegus monogyna,0.025,restored,res
M_CAL,Crepis biennis,0.625,restored,res
M_CAL,Dactylis glomerata agg.,4.125,restored,res
M_CAL,Daucus carota,1.125,restored,res
M_CAL,Galium mollugo agg.,3.625,restored,res
M_CAL,Galium verum agg.,0.75,restored,res
M_CAL,Geranium pratense,0.025,restored,res
M_CAL,Hypericum perforatum,1,restored,res
M_CAL,Leucanthemum vulgare agg.,0.025,restored,res
M_CAL,Linaria vulgaris,0.625,restored,res
M_CAL,Lotus corniculatus agg.,3.5,restored,res
M_CAL,Pastinaca sativa,1.025,restored,res
M_CAL,Picris hieracioides s. l.,0.125,restored,res
M_CAL,Plantago lanceolata,4.5,restored,res
M_CAL,Poa pratensis agg.,11,restored,res
M_CAL,Rubus,0.025,restored,res
M_CAL,Silene latifolia subsp. alba,0.025,restored,res
M_CAL,Silene vulgaris,6.5,restored,res
M_CAL,Trifolium campestre,0.025,restored,res
M_CAL,Trifolium pratense,0.15,restored,res
M_CBE,Alopecurus pratensis,4,negative,NA
M_CBE,Arrhenatherum elatius,17.5,negative,NA
M_CBE,Cerastium fontanum agg.,0.025,negative,NA
M_CBE,Cerastium pumilum agg.,2.65,negative,NA
M_CBE,Convolvulus arvensis,0.125,negative,NA
M_CBE,Dactylis glomerata agg.,1.5,negative,NA
M_CBE,Elymus repens s. str.,36.25,negative,NA
M_CBE,Festuca pratensis s. str.,0.5,negative,NA
M_CBE,Festuca rubra agg.,0.5,negative,NA
M_CBE,Galium mollugo agg.,0.25,negative,NA
M_CBE,Lamium purpureum s. str.,1.025,negative,NA
M_CBE,Myosotis ramosissima,0.125,negative,NA
M_CBE,Poa pratensis agg.,24.875,negative,NA
M_CBE,Stellaria media agg.,1.05,negative,NA
M_CBE,Taraxacum sect. Ruderalia,0.05,negative,NA
M_CBE,Urtica dioica s. l.,1,negative,NA
M_CBE,Valerianella locusta,3.75,negative,NA
M_CBE,Veronica arvensis,2.775,negative,NA
M_DOB,Achillea millefolium agg.,11,restored,res
M_DOB,Agrimonia eupatoria,0.775,restored,res
M_DOB,Anthoxanthum odoratum agg.,0.775,restored,res
M_DOB,Arrhenatherum elatius,2.25,restored,res
M_DOB,Briza media,0.175,restored,res
M_DOB,Carduus nutans agg.,0.05,restored,res
M_DOB,Centaurea jacea agg.,1.625,restored,res
M_DOB,Centaurea scabiosa,0.025,restored,res
M_DOB,Cerastium fontanum agg.,0.025,restored,res
M_DOB,Cirsium acaulon,0.025,restored,res
M_DOB,Dactylis glomerata agg.,1.15,restored,res
M_DOB,Daucus carota,0.3,restored,res
M_DOB,Dianthus carthusianorum agg.,1.125,restored,res
M_DOB,Elymus repens s. str.,0.05,restored,res
M_DOB,Falcaria vulgaris,0.1,restored,res
M_DOB,Festuca ovina agg.,7.125,restored,res
M_DOB,Festuca rubra agg.,0.05,restored,res
M_DOB,Galium mollugo agg.,1.75,restored,res
M_DOB,Galium verum agg.,0.275,restored,res
M_DOB,Helictotrichon pratense,1.125,restored,res
M_DOB,Helictotrichon pubescens,2.525,restored,res
M_DOB,Hypochaeris radicata,0.025,restored,res
M_DOB,Knautia arvensis agg.,1,restored,res
M_DOB,Koeleria pyramidata agg.,1.5,restored,res
M_DOB,Lathyrus pratensis,0.2,restored,res
M_DOB,Leucanthemum vulgare agg.,5.5,restored,res
M_DOB,Linaria vulgaris,0.05,restored,res
M_DOB,Linum catharticum,0.025,restored,res
M_DOB,Lotus corniculatus agg.,1.75,restored,res
M_DOB,Medicago lupulina,0.3,restored,res
M_DOB,Medicago sativa agg.,2.525,restored,res
M_DOB,Origanum vulgare,0.275,restored,res
M_DOB,Picris hieracioides s. l.,0.375,restored,res
M_DOB,Pimpinella saxifraga agg.,0.07500000000000001,restored,res
M_DOB,Plantago lanceolata,0.55,restored,res
M_DOB,Plantago media,0.4,restored,res
M_DOB,Poa pratensis agg.,1.125,restored,res
M_DOB,Prunella vulgaris,0.125,restored,res
M_DOB,Rhinanthus minor,0.025,restored,res
M_DOB,Salvia pratensis,4.025,restored,res
M_DOB,Sanguisorba minor s. l.,0.875,restored,res
M_DOB,Scabiosa ochroleuca,0.125,restored,res
M_DOB,Securigera varia,0.025,restored,res
M_DOB,Senecio,0.025,restored,res
M_DOB,Silene latifolia subsp. alba,0.05,restored,res
M_DOB,Silene vulgaris,0.875,restored,res
M_DOB,Stachys recta,0.025,restored,res
M_DOB,Taraxacum sect. Ruderalia,0.275,restored,res
M_DOB,Trifolium campestre,3.65,restored,res
M_DOB,Trifolium pratense,8,restored,res
M_DOB,Vicia hirsuta,0.05,restored,res
M_DOB,Vicia sativa agg.,1.15,restored,res
M_DOR,Achillea millefolium agg.,0.375,restored,cus
M_DOR,Agrimonia eupatoria,0.275,restored,cus
M_DOR,Arrhenatherum elatius,21.875,restored,cus
M_DOR,Astragalus glycyphyllos,2.625,restored,cus
M_DOR,Centaurea jacea agg.,0.025,restored,cus
M_DOR,Cerastium fontanum agg.,0.125,restored,cus
M_DOR,Convolvulus arvensis,2.625,restored,cus
M_DOR,Dactylis glomerata agg.,2.5,restored,cus
M_DOR,Elymus repens s. str.,6,restored,cus
M_DOR,Festuca arundinacea,0.5,restored,cus
M_DOR,Festuca ovina agg.,0.5,restored,cus
M_DOR,Festuca rubra agg.,0.5,restored,cus
M_DOR,Galium mollugo agg.,6.25,restored,cus
M_DOR,Galium verum agg.,4.5,restored,cus
M_DOR,Leontodon hispidus,0.025,restored,cus
M_DOR,Leucanthemum vulgare agg.,0.125,restored,cus
M_DOR,Lotus corniculatus agg.,0.025,restored,cus
M_DOR,Pastinaca sativa,0.125,restored,cus
M_DOR,Plantago lanceolata,0.25,restored,cus
M_DOR,Poa pratensis agg.,13.5,restored,cus
M_DOR,Prunella vulgaris,0.125,restored,cus
M_DOR,Salvia pratensis,0.125,restored,cus
M_DOR,Securigera varia,0.125,restored,cus
M_DOR,Taraxacum sect. Ruderalia,0.025,restored,cus
M_DOR,Veronica arvensis,0.025,restored,cus
M_EIC,Alopecurus pratensis,19.375,negative,NA
M_EIC,Carex praecox agg.,1,negative,NA
M_EIC,Cerastium glomeratum,0.025,negative,NA
M_EIC,Convolvulus arvensis,0.625,negative,NA
M_EIC,Deschampsia cespitosa agg.,0.125,negative,NA
M_EIC,Draba verna agg.,0.525,negative,NA
M_EIC,Elymus repens s. str.,10,negative,NA
M_EIC,Phalaris arundinacea,2.625,negative,NA
M_EIC,Poa pratensis agg.,12.5,negative,NA
M_EIC,Potentilla reptans,4,negative,NA
M_EIC,Rumex acetosa,7.5,negative,NA
M_EIC,Trifolium dubium agg.,0.375,negative,NA
M_EIC,Trifolium pratense,0.5,negative,NA
M_EIC,Veronica arvensis,0.125,negative,NA
M_EIC,Vicia hirsuta,15,negative,NA
M_EIC,Vicia sativa agg.,10.75,negative,NA
M_FAL,Achillea millefolium agg.,4.125,restored,res
M_FAL,Alopecurus pratensis,11,restored,res
M_FAL,Anthoxanthum odoratum agg.,0.025,restored,res
M_FAL,Arenaria serpyllifolia agg.,0.15,restored,res
M_FAL,Arrhenatherum elatius,4,restored,res
M_FAL,Centaurea jacea agg.,8,restored,res
M_FAL,Cerastium fontanum agg.,3,restored,res
M_FAL,Cerastium glomeratum,1.125,restored,res
M_FAL,Cerastium pumilum agg.,0.025,restored,res
M_FAL,Cichorium intybus,6,restored,res
M_FAL,Dactylis glomerata agg.,10,restored,res
M_FAL,Daucus carota,0.025,restored,res
M_FAL,Galium mollugo agg.,11,restored,res
M_FAL,Geranium molle,0.025,restored,res
M_FAL,Glechoma hederacea,0.625,restored,res
M_FAL,Knautia arvensis agg.,0.625,restored,res
M_FAL,Leucanthemum vulgare agg.,0.525,restored,res
M_FAL,Lychnis flos-cuculi,0.025,restored,res
M_FAL,Plantago lanceolata,0.525,restored,res
M_FAL,Poa pratensis agg.,24.375,restored,res
M_FAL,Ranunculus acris agg.,0.5,restored,res
M_FAL,Rumex thyrsiflorus,13.5,restored,res
M_FAL,Stellaria media agg.,1.25,restored,res
M_FAL,Trifolium dubium agg.,0.5,restored,res
M_FAL,Veronica arvensis,1.125,restored,res
M_FAL,Vicia sativa agg.,0.125,restored,res
M_FAL,Viola tricolor agg.,0.025,restored,res
M_FAL,Vulpia myuros,0.5,restored,res
M_FRB,Achillea millefolium agg.,0.625,restored,mga
M_FRB,Agrimonia eupatoria,3.625,restored,mga
M_FRB,Alyssum alyssoides,1.125,restored,mga
M_FRB,Arenaria serpyllifolia agg.,1,restored,mga
M_FRB,Arrhenatherum elatius,2.525,restored,mga
M_FRB,Bromus hordeaceus agg.,0.775,restored,mga
M_FRB,Bromus sterilis,3.15,restored,mga
M_FRB,Camelina sativa agg.,0.525,restored,mga
M_FRB,Centaurea jacea agg.,0.125,restored,mga
M_FRB,Cerastium glomeratum,0.75,restored,mga
M_FRB,Convolvulus arvensis,0.025,restored,mga
M_FRB,Dactylis glomerata agg.,0.175,restored,mga
M_FRB,Dianthus carthusianorum agg.,0.025,restored,mga
M_FRB,Draba verna agg.,0.625,restored,mga
M_FRB,Echium vulgare,0.15,restored,mga
M_FRB,Elymus repens s. str.,0.125,restored,mga
M_FRB,Eryngium campestre,15,restored,mga
M_FRB,Euphorbia cyparissias,0.625,restored,mga
M_FRB,Falcaria vulgaris,1.15,restored,mga
M_FRB,Festuca ovina agg.,25.275,restored,mga
M_FRB,Festuca rubra agg.,0.5,restored,mga
M_FRB,Galium mollugo agg.,1,restored,mga
M_FRB,Geranium molle,0.125,restored,mga
M_FRB,Hieracium,0.025,restored,mga
M_FRB,Hypericum perforatum,0.125,restored,mga
M_FRB,Koeleria pyramidata agg.,2,restored,mga
M_FRB,Lactuca serriola,0.025,restored,mga
M_FRB,Lappula squarrosa,0.125,restored,mga
M_FRB,Lotus corniculatus agg.,0.625,restored,mga
